#OTU ID	S100	S101	S102	S103	S104	S105	S106	S107	S108	S93	S94	S95	S96	S97	S98	S99
OTU_1	576493	73194	29405	26707	3824	627	37	0	0	8892	7197	1160	5480	9282	393	3918
OTU_10	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_107	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_108	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_109	6	2	0	2	0	0	0	0	0	2	0	0	0	4	0	0
OTU_11	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
OTU_110	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_113	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_114	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_115	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_116	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_117	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_119	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_120	2	2	2	0	0	0	0	0	0	2	0	0	0	2	0	0
OTU_121	72	86	56	56	10	0	0	0	0	22	10	2	18	22	0	10
OTU_122	288	476	246	262	36	4	0	0	0	112	106	18	76	126	10	66
OTU_123	88	64	66	76	6	4	0	0	0	28	18	6	16	34	2	10
OTU_124	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_125	2	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_126	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_127	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_128	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_129	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	597	111	61	24	4	0	0	0	0	20	7	5	13	14	0	3
OTU_130	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_131	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_133	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_134	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_135	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_136	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_137	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_138	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_139	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14	0	514	0	0	0	0	0	0	0	0	0	0	0	0	21	0
OTU_140	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_142	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_143	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_144	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_145	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_146	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_147	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_148	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_149	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
OTU_150	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_151	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_152	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
